天門冬,천문동
苦瓠,고호
蜂房,봉방
靑礞石,청몽석
礞石,몽석
片黃芩,편황금
苧根,저근
急性子,급성자
自然銅,자연동
鐵粉,철분
紫河車,자하차
蜥蜴,석척
空靑,공청
金蛤蟆,금합마
靑橘葉,청귤엽
拒桑葉,거상엽
赤豆,적두
仙人掌,선인장
酒糟,주조
瓜蔞實,과루실
黃瓜蔞,황과루
薤白,해백
螺殼,나각
海蛤粉,해합분
冬瓜,동과
瓜蒂末,과체말
古鏡,고경
桑葉,상엽
檀香,단향
冬瓜子仁,동과자인
貫衆,관중
大豆葉,대두엽
狼牙,낭아
爐甘石,노감석
廣朮,광출
代赭石,대자석
浙貝母,절패모
槐子,괴자
牛膽,우담
楝實,련실
槐白皮,괴백피
槐枝,괴지
食鹽,식염
槐實,괴실
柏葉,백엽
胡桐淚,호동누
綠豆皮,녹두피
杏仁泥,행인니
槐潤,괴윤
瀝靑,력청
藜蘆,려노
蔞蒿,루호
荊三棱,형삼릉
蜀椒,촉초
合歡皮,합환피
醋,초
垣衣,원의
狗頭骨,구두골
鈎藤,구등
蠍尾,헐미
丁公藤,정공등
紅內消,홍내소
紅藤,홍등
陰地蕨,음지궐
苦桔梗,고길경
天竺黃,천축황
臘茶,납차
佛座鬚,불좌수
川歸,천귀
鵝涎,아연
土狗,토구
石燕,석연
芥子,개자
薺苨,제니
蕪荑,무이
黃絹,황견
薤菜,해채
初男乳,초남유
烏金石,오금석
粉霜,분상
鯉魚膽,리어담
黑狗膽,흑구담
小腦,소뇌
紫梢花,자초화
白沙糖,백사당
燕窠土,연과토
女貞子,여정자
南瓜子,남과자
韭菜,구채
獺肝,달간
狼毒,낭독
銅綠,동녹
紅椒,홍초
開口者,개구자
蓮根,연근
山梔,산치
朮,출
榧子,비자
甘草末,감초말
白礬末,백반말
北細辛,북세신
生龍腦,생용뇌
刺蘇,자소
瓦壠子,와롱자
頭髮,두발
紅葵花,홍규화
酒芩,주금
龜尿,귀뇨
椿根皮,춘근피
銀箔,은박
龍齒,용치
牽牛子,견우자
鷄頭實,계두실
冬葵子,동규자
山梔子仁,산치자인
黃蜀葵子,황촉규자
石葦,석위
葵花,규화
益智子,익지자
大懷生地黃,대회생지황
陳橘皮,진귤피
石蟹,석해
柿蒂,시체
紫蘇莖葉,자소경엽
蟹爪,해조
火麻仁,화마인
郁李仁,욱리인
信砒,신비
定粉,정분
荷葉,하엽
菉豆末,녹두말
蚯蚓,구인
大蓼,대료
枇杷,비파
斑鳩,반구
羚羊肝,영양간
羯羊肝,갈양간
石燕肉,석연육
海蛤,해합
馬藺花,마린화
馬尾,마미
月石,월석
竹黃,죽황
海星,해성
桑柴灰,상시회
人中白,인중백
米醋,미초
野鳳仙花,야봉선화
連鬚葉葱,연수엽총
金錢草,금전초
生白礬,생백반
桃白皮,도백피
羊腎,양신
連鬚葱,연수총
伏龍肝,복용간
黑鉛,흑연
紅芽大戟,홍아대극
零陵香,영능향
韭菜根,구채근
馬藺子,마린자
膩粉,니분
雪梨汁,설리즙
蘿菔,나복
枯芩,고금
白粉葛,백분갈
糯米酒,나미주
丹砂,단사
乳汁,유즙
兎屎,토시
垂盆草,수분초
三七,삼칠
天靈蓋,천영개
芫靑,원청
紅豆蔲,홍두구
白果,백과
馬勃,마발
銅錢,동전
生硫黃,생유황
蘭香草,난향초
膽星,담성
板藍根,판남근
蘆根,노근
大豆黃卷,대두황권
蠶布紙,잠포지
藍葉,남엽
藍漆,남칠
明白礬,명백반
松脂,송지
海松子油,해송자유
猯油,단유
明松脂,명송지
臘猪脂,납저지
大風子,대풍자
腦麝,뇌사
元明粉,원명분
茄子,가자
太陰玄精石,태음현정석
脂麻,지마
